track_id	track_name	track_popularity	album_id	artist_id	genre	country	artist_name	artist_popularity	album_name	album_popularity	release_date	acousticness	danceability	energy	instrumentalness	liveness	speechiness	valence
5ubHAQtKuFfiG4FXfLP804	Lego House	75	02pi98kE0nra0yBqCStzbC	6eUKZXaKkcviH0Ku9w2n3V	Pop	USA	Ed Sheeran	91	+	77	2011	0.562	0.592	0.637	0.0	0.13	0.0992	0.565
0Tel1fmuCxEFV6wBLXsEdk	Kiss Me	70	02pi98kE0nra0yBqCStzbC	6eUKZXaKkcviH0Ku9w2n3V	Rock	USA	Ed Sheeran	91	+	77	2011	0.64	0.589	0.227	0.00469	0.0248	0.0498	0.182
1HNkqx9Ahdgi1Ixy2xkKkL	Photograph	87	1xn54DMo2qIqBuMqHtUsFd	6eUKZXaKkcviH0Ku9w2n3V	Rock	India	Ed Sheeran	91	x (Deluxe Edition)	85	2014	0.607	0.614	0.379	0.000464	0.0986	0.0476	0.201
3FzK2g50oLcx8vqETwOn07	Love Songs on the Radio	57	3fjeFLyo8FY1Appkw4Mrvy	4jSYHcSo85heWskYvAULio	Rock	USA	Mojave 3	44	Ask Me Tomorrow	52	1995	0.899	0.457	0.25	0.0896	0.109	0.0269	0.0739
6Thn8AOHIwPCkf2O4ZgfC2	Song for Zula	62	6rAJ4I8SpPMJj0guCZiAI8	57kIMCLPgkzQlXjblX7XXP	Pop	India	Phosphorescent	49	Muchacho	56	2013	0.734	0.486	0.623	0.536	0.0509	0.0358	0.525
7mjSHL2Eb0kAwiKbvNNyD9	Wild World	79	44VxbAytHpVi3Rq8hRhild	08F3Y3SctIlsOEmKd6dnH8	Pop	India	Yusuf / Cat Stevens	70	Tea For The Tillerman (Remastered 2020)	77	1970	0.345	0.48	0.542	0.000609	0.113	0.0348	0.567
1mea3bSkSGXuIRvnydlB5b	Viva La Vida	87	1CEODgTmTwLyabvwd7HBty	4gzpq5DPGxSnKTe4SA8HAU	Rock	USA	Coldplay	88	Viva La Vida or Death and All His Friends	81	2008	0.0954	0.486	0.617	3.23e-06	0.109	0.0287	0.417
31L9yLXSj6LpCFupyMV6CR	Up&Up	70	3cfAM8b8KqJRoIzt3zLKqw	4gzpq5DPGxSnKTe4SA8HAU	Indie	India	Coldplay	88	A Head Full of Dreams	82	2015	0.0488	0.479	0.717	0.000333	0.102	0.0605	0.253
1yqMgZNrevsWMLWfO2PRp5	Charlie Brown	71	2R7iJz5uaHjLEVnMkloO18	4gzpq5DPGxSnKTe4SA8HAU	Pop	India	Coldplay	88	Mylo Xyloto	81	2011	0.0212	0.43	0.74	0.00165	0.33	0.0375	0.0948
7LVHVU3tWfcxj5aiPFEW4Q	Fix You	84	4E7bV0pzG0LciBSWTszra6	4gzpq5DPGxSnKTe4SA8HAU	International	USA	Coldplay	88	X&Y	80	2005	0.164	0.209	0.417	0.00196	0.113	0.0338	0.124
